Mapa: Inferno (Modo Competitivo)

Equipe: Os Desacreditados (Vitória - 13 Rounds)

DESACREDITADOS distress: 25 Kills | 9 Mortes | 3 Assists | 36% HS | 2150 Dano

DESACREDITADOS tufa: 22 Kills | 14 Mortes | 7 Assists | 54% HS | 2131 Dano

DESACREDITADOS leluia: 14 Kills | 7 Mortes | 5 Assists | 42% HS | 1184 Dano

DESACREDITADOS Vandeco: 13 Kills | 13 Mortes | 4 Assists | 46% HS | 1542 Dano

DESACREDITADOS GalaxY: 6 Kills | 15 Mortes | 9 Assists | 16% HS | 1345 Dano

Equipe: 5Cones (5 Rounds)

becker: 20 Kills | 14 Mortes | 3 Assists | 35% HS | 1734 Dano

5CNS - Giraldi: 12 Kills | 15 Mortes | 2 Assists | 50% HS | 1143 Dano

5CNS - chapaCHAPLIN: 11 Kills | 16 Mortes | 6 Assists | 45% HS | 1335 Dano

5CNS - Deeez1n: 8 Kills | 18 Mortes | 4 Assists | 75% HS | 984 Dano

5CNS GUASCA: 5 Kills | 17 Mortes | 6 Assists | 80% HS | 1043 Dano
