Mapa: Ancient (Modo Competitivo - Prorrogação)

Equipe: Venvanse (Vitória - 16 Rounds)

VVS Pacal: 39 Kills | 17 Mortes | 7 Assists | 46% HS | 3900 Dano

VVS SamucaHEMP: 25 Kills | 18 Mortes | 9 Assists | 40% HS | 2803 Dano

VVS Perry: 19 Kills | 18 Mortes | 6 Assists | 47% HS | 1975 Dano

VVS Baronelis: 13 Kills | 21 Mortes | 11 Assists | 38% HS | 1604 Dano

VVS Duzão: 10 Kills | 20 Mortes | 11 Assists | 30% HS | 1409 Dano

Equipe: 5 Cones (12 Rounds)

becker: 28 Kills | 22 Mortes | 9 Assists | 28% HS | 3256 Dano (Visível no placar)

lsnbxjq ulzouqodفوي: 21 Kills | 21 Mortes | 6 Assists | 57% HS | 2044 Dano (73 ADR)

chapaCHAPLIN: 15 Kills | 20 Mortes | 8 Assists | 33% HS | 2016 Dano (72 ADR)

Giraldi: 16 Kills | 20 Mortes | 6 Assists | 50% HS | 1848 Dano (66 ADR)

Deeez1n: 14 Kills | 24 Mortes | 8 Assists | 21% HS | 1372 Dano (49 ADR)
