Mapa: Cache (Modo Competitivo - 2ª Prorrogação)

Equipe: Os Desacreditados (Vitória - 19 Rounds)

DESACREDITADOS distress: 32 Kills | 26 Mortes | 5 Assists | 28% HS | 3185 Dano

DESACREDITADOS leluia: 23 Kills | 23 Mortes | 12 Assists | 56% HS | 2898 Dano

DESACREDITADOS tufa: 27 Kills | 28 Mortes | 8 Assists | 59% HS | 2884 Dano

DESACREDITADOS GalaxY: 20 Kills | 24 Mortes | 10 Assists | 23% HS | 2551 Dano

DESACREDITADOS Vandeco: 21 Kills | 23 Mortes | 4 Assists | 57% HS | 2183 Dano

Equipe: Venvanse (16 Rounds)

VVS Pacal: 38 Kills | 23 Mortes | 6 Assists | 31% HS | 3688 Dano

VVS SamucaHEMP: 32 Kills | 23 Mortes | 9 Assists | 53% HS | 3421 Dano

VVS Perry: 21 Kills | 26 Mortes | 7 Assists | 33% HS | 2332 Dano

VVS Duzão: 15 Kills | 25 Mortes | 11 Assists | 40% HS | 1915 Dano

VVS Baronelis: 17 Kills | 28 Mortes | 6 Assists | 52% HS | 1782 Dano
